"Continent","Year","Average_Life_Expectancy"
"Africa",1990,53.515
"Africa",1991,53.3776923076923
"Africa",1992,53.1475
"Africa",1993,53.4325
"Africa",1994,53.6086538461538
"Africa",1995,53.8794230769231
"Africa",1996,53.9076923076923
"Africa",1997,53.9115384615385
"Africa",1998,53.5232692307692
"Africa",1999,54.2632692307692
"Africa",2000,54.9544230769231
"Africa",2001,55.2686538461538
"Africa",2002,55.6330769230769
"Africa",2003,56.0526923076923
"Africa",2004,56.5892307692308
"Africa",2005,57.0901923076923
"Africa",2006,57.7136538461538
"Africa",2007,58.2892307692308
"Africa",2008,58.8419230769231
"Africa",2009,59.4448076923077
"Africa",2010,60.0392307692308
"Africa",2011,60.5773076923077
"Africa",2012,61.2521153846154
"Africa",2013,61.7509615384615
"Africa",2014,62.1813461538462
"Africa",2015,62.6476923076923
"Africa",2016,63.1780769230769
"Africa",2017,63.6042307692308
"Africa",2018,63.8846153846154
"Africa",2019,64.2117307692308
"Africa",2020,63.8317307692308
"Africa",2021,63.0792307692308
"Africa",2022,63.5146153846154
"Asia",1990,65.5172340425532
"Asia",1991,65.9855319148936
"Asia",1992,66.2923404255319
"Asia",1993,66.5789361702128
"Asia",1994,66.8659574468085
"Asia",1995,66.9117021276596
"Asia",1996,67.2378723404255
"Asia",1997,67.5782978723404
"Asia",1998,67.9048936170213
"Asia",1999,68.2731914893617
"Asia",2000,68.8455319148936
"Asia",2001,69.3068085106383
"Asia",2002,69.6548936170213
"Asia",2003,70.1746808510638
"Asia",2004,70.3465957446809
"Asia",2005,70.7542553191489
"Asia",2006,71.0621276595745
"Asia",2007,71.3608510638298
"Asia",2008,71.5357446808511
"Asia",2009,72.028085106383
"Asia",2010,72.4378723404255
"Asia",2011,72.7444680851064
"Asia",2012,72.9270212765957
"Asia",2013,73.1770212765957
"Asia",2014,73.4444680851064
"Asia",2015,73.6712765957447
"Asia",2016,73.9397872340426
"Asia",2017,74.2336170212766
"Asia",2018,74.4604255319149
"Asia",2019,74.701914893617
"Asia",2020,73.9374468085106
"Asia",2021,73.6042553191489
"Asia",2022,74.43
"Europe",1990,73.4773170731707
"Europe",1991,73.4956097560976
"Europe",1992,73.0326829268293
"Europe",1993,72.979756097561
"Europe",1994,73.4090243902439
"Europe",1995,73.6175609756098
"Europe",1996,74.030487804878
"Europe",1997,74.2726829268293
"Europe",1998,74.4060975609756
"Europe",1999,74.479512195122
"Europe",2000,74.9268292682927
"Europe",2001,75.2639024390244
"Europe",2002,75.3621951219512
"Europe",2003,75.5509756097561
"Europe",2004,75.9951219512195
"Europe",2005,76.0892682926829
"Europe",2006,76.38
"Europe",2007,76.6214634146341
"Europe",2008,76.9819512195122
"Europe",2009,77.2692682926829
"Europe",2010,77.5721951219512
"Europe",2011,77.9687804878049
"Europe",2012,78.1087804878049
"Europe",2013,78.3731707317073
"Europe",2014,78.65
"Europe",2015,78.6063414634146
"Europe",2016,78.9109756097561
"Europe",2017,79.0219512195122
"Europe",2018,79.160487804878
"Europe",2019,79.4278048780488
"Europe",2020,78.549512195122
"Europe",2021,78.0107317073171
"Europe",2022,78.7912195121951
"North & South America",1990,68.9646153846154
"North & South America",1991,69.241282051282
"North & South America",1992,69.4623076923077
"North & South America",1993,69.7207692307692
"North & South America",1994,69.8933333333333
"North & South America",1995,70.144358974359
"North & South America",1996,70.395641025641
"North & South America",1997,70.6153846153846
"North & South America",1998,70.6858974358974
"North & South America",1999,71.0774358974359
"North & South America",2000,71.3874358974359
"North & South America",2001,71.5720512820513
"North & South America",2002,71.9171794871795
"North & South America",2003,71.9892307692308
"North & South America",2004,72.3061538461538
"North & South America",2005,72.5423076923077
"North & South America",2006,72.7930769230769
"North & South America",2007,73.0410256410256
"North & South America",2008,73.2597435897436
"North & South America",2009,73.5602564102564
"North & South America",2010,73.3048717948718
"North & South America",2011,73.9046153846154
"North & South America",2012,74.0910256410256
"North & South America",2013,74.1661538461538
"North & South America",2014,74.2669230769231
"North & South America",2015,74.414358974359
"North & South America",2016,74.5492307692308
"North & South America",2017,74.6225641025641
"North & South America",2018,74.8120512820513
"North & South America",2019,74.8148717948718
"North & South America",2020,73.9482051282051
"North & South America",2021,72.9292307692308
"North & South America",2022,73.8464102564103
"Oceania",1990,66.4163636363636
"Oceania",1991,66.7009090909091
"Oceania",1992,66.7645454545455
"Oceania",1993,67.2009090909091
"Oceania",1994,67.4136363636364
"Oceania",1995,67.5672727272727
"Oceania",1996,67.7
"Oceania",1997,67.8663636363636
"Oceania",1998,67.96
"Oceania",1999,68.0763636363636
"Oceania",2000,68.2736363636364
"Oceania",2001,68.4163636363636
"Oceania",2002,68.3736363636364
"Oceania",2003,68.6436363636364
"Oceania",2004,68.7718181818182
"Oceania",2005,68.8981818181818
"Oceania",2006,69.05
"Oceania",2007,69.1227272727273
"Oceania",2008,69.2663636363636
"Oceania",2009,69.1745454545455
"Oceania",2010,69.5481818181818
"Oceania",2011,69.7290909090909
"Oceania",2012,69.8463636363636
"Oceania",2013,69.9718181818182
"Oceania",2014,70.0963636363636
"Oceania",2015,70.1809090909091
"Oceania",2016,70.3436363636364
"Oceania",2017,70.4972727272727
"Oceania",2018,70.5718181818182
"Oceania",2019,70.6563636363636
"Oceania",2020,70.8118181818182
"Oceania",2021,70.7709090909091
"Oceania",2022,71.0936363636364
